item,itemLabel,startDate,endDate,sourceDate,psid
Q58203,Erlan Idrissov,1999,2002,,Q58203-1F8CE0C4-94B2-458B-835F-B08940E19C57
Q200881,Kassym-Jomart Tokayev,2003-06,2007-01,,Q200881-4B851CE3-73F9-4A10-BC2D-F2D188ABAB74
Q1377798,Marat Tazhin,2007-01-11,2009-09-04,,Q1377798-0B1631E1-B307-4B52-A967-94740B9F3CE8
Q1856100,Kanat Saudabayev,2009-09-04,2011-04-11,,Q1856100-FA8DF66E-3880-4838-9C5B-735EF16935D8
Q166846,Yerzhan Kazykhanov,2011-04-11,2012-09-24,,Q166846-C5E3079D-498D-4680-A1A7-24E151CEAFBA
Q58203,Erlan Idrissov,2012-09-28,2016-12-28,,Q58203-884CB4CA-A247-4F55-AD38-AF301FA3B6D8
Q1721851,Kairat Abdrakhmanov,2016-12-28,2018-12-26,,Q1721851-7CB48467-8FBE-46B0-B293-D3BF4D1F0F53
Q4072002,Beibut Bakirovich Atamkulov,2018-12-26,2019-09-18,,Q4072002-bf416819-45b5-5e6f-791d-d30b3d2ba09e
Q70254110,Mukhtar Tleuberdi,2019-09-08,,,Q70254110-1C183D34-6CC8-43B4-88AD-FA9E9CA48DDA
