item,itemLabel,startDate,endDate,psid
Q1377512,"Храпунов, Виктор Вячеславович",1995-03-15,1997-06-16,Q1377512-E8DD0374-910C-4D7D-9C48-2B1D16390903
Q16436621,"Мирзагалиев, Магзум Маратович",2021-09-09,2022-01-05,Q16436621-931C6565-20A2-46B4-9172-D4A762B33C7B
Q16437571,"Акчулаков, Болат Уралович",2022-01-11,,Q16437571-7EB21CBE-009D-4C5F-ADEF-40645774B06B
Q3088780,"Бозумбаев, Канат Алдабергенович",2016-03-25,2019-12-18,Q3088780-fce30291-40d8-32fe-4512-61fc0911c76a
Q375161,Владимир Сергеевич Школьник,2014-08-06,2016-03-25,Q375161-1BB01C94-AD3F-4C46-85CF-8620C6071C10
Q4326941,Нурлан Аскарович Ногаев,2019-12-18,2021-09-07,Q4326941-A21A3453-955A-4F24-B011-01286F43FD6C
