@@,itemlabel,item,startdate,enddate
->,"Байназаров, Галым Байназарович->Галым Байназаров",Q4075646,1992-01,1993-12
->,"Сембаев, Даулет Хамитович->Даулет Сембаев",Q4415084,1994,1996-01
->,"Жандосов, Ораз Алиевич->Ураз Джандосов",Q4178101,1996-01,1998-02
->,"Дамитов, Кадыржан Кабдошевич->Кадыржан Дамитов",Q4154423,1998-02,1999-10
->,"Марченко, Григорий Александрович->Григорий Марченко",Q1046192,1999-10,2004-01
->,"Сайденов, Анвар Галимуллаевич->Анвар Сайденов",Q1046047,2004-01-26,2009-03
->,"Марченко, Григорий Александрович->Григорий Марченко",Q1046192,2009-01-22,2013-10-01
->,"Келимбетов, Кайрат Нематович->Кайрат Келимбетов",Q4219098,2013-10-01,2015-11-02
->,"Акишев, Данияр Талгатович->Данияр Акишев",Q16435781,2015-11-02,2019-02-26
->,"Досаев, Ерболат Аскарбекович->Ерболат Досаев",Q4167136,2019-02-26,2022-01-31
