name,position
Alikhan Smailov,Prime Minister of the Republic of Kazakhstan
Roman Sklyar,First Deputy Prime Minister
Yeraly Tugzhanov,Deputy Prime Minister
Mukhtar Tileuberdi,Deputy Prime Minister
Mukhtar Tileuberdi,Minister of Foreign Affairs
Bakhyt Sultanov,Deputy Prime Minister
Bakhyt Sultanov,Minister of Trade and Integration
Yerulan Zhamaubayev,Deputy Prime Minister
Yerulan Zhamaubayev,Minister of Finance
Galymzhan Koishybayev,Head of the Office of the Prime Minister
Ruslan Zhaksylykov,Minister of Defense
Marat Akhmetzhanov,Minister of Internal Affairs
Askar Umarov,Minister of Information and Social Development
Yerbol Karashukeev,Minister of Agriculture
Kanat Mussin,Minister of Justice
Askhat Aimagambetov,Minister of Education and Science
Azhar Giniyat,Minister of Healthcare
Tamara Duisenova,Minister of Labor and Social Protection of the Population
Kairbek Uskenbayev,Minister of Industry and Infrastructure Development
Dauren Abayev,Minister of Culture and Sports
Yuri Ilyin,Minister of Emergency Situations
Alibek Kuantyrov,Minister of National Economy
Bagdat Mussin,"Minister of Digital Development, Innovation and Aerospace Industry"
Serikkali Brekeshev,"Minister of Ecology, Geology and Natural Resources"
Bolat Akchulakov,Minister of Energy
