item,itemLabel,position,positionLabel,start,psid
Q105026553,Aset Ergaliev,Q107752575,Minister of National Economy,2020-01-18,Q105026553-AFA43EA8-5D78-433E-A936-34381E3EC333
Q108391615,Yerbol Karashukeev,Q108391646,Minister of Agriculture,2021-07-01,Q108391615-97E1DA07-3795-4F98-AB82-C02611E0B25D
Q108498636,Serıkqali Brekeşev,Q107752348,"Minister of Ecology, Geology and Natural Resources",2021-09-10,Q108498636-79DA61D4-9C7F-4530-B6DB-69F2BA2AB248
Q12532220,Aqtoty Raiymqulova,Q107752585,Minister of Culture and Sports,2019-06-17,Q12532220-DD82A236-FC54-43C3-8651-D390242E6C1E
Q12542039,Erlan Turgymbaev,Q107752298,Minister of Internal Affairs,2019-02-12,Q12542039-1CF650F9-FDA7-489C-8150-BE63AD72588D
Q12562169,Serik Şapkenov,Q107752312,Minister of Labor and Social Protection of the Population,2021-01-18,Q12562169-62C39AF9-53C8-418B-A0A8-BA91451D9AFD
Q1521334,Galymjan Koishibaev,Q107752391,Head of the Office of the Prime Minister,2019-03-26,Q1521334-26092CAA-0E8D-44B8-AA59-073730723206
Q16436597,Eraly Togjanov,Q97358527,Deputy Prime Minister of Kazakhstan,2020-02-11,Q16436597-EF61287B-70F6-4C5B-AB7A-F4881A729EE1
Q16436621,Magzum Myrzagaliev,Q107752334,Minister of Energy,2021-09-09,Q16436621-931C6565-20A2-46B4-9172-D4A762B33C7B
Q16436743,Sklyar Roman Vasilyevich,Q97358527,Deputy Prime Minister of Kazakhstan,2019-09-18,Q16436743-0EBDD6FF-6DE6-4A15-A77A-7E17F3F34395
Q28496484,Marat Beketaev,Q107752344,Minister of Justice,2016-09-13,Q28496484-1D0448B0-83CA-400C-AECC-F414DD4A416A
Q28496487,Murat Bektanov,Q107752328,Minister of Defense,2021-08-31,Q28496487-592D19F1-0FC6-46E7-B5AD-25D4058C8494
Q4072002,Beibut Bakirovich Atamkulov,Q107752563,Minister of Industry and Infrastructure Development,2019-09-18,Q4072002-7BE0623F-885F-4ABA-B523-CAA68E4FE994
Q4445713,Bakhyt Sultanov,Q107752565,Minister of Trade and Integration,2019-07-17,Q4445713-E6FFD7E1-B0B6-4EAC-8FB1-56263E3DB30D
Q56825894,Alihan Smaiylov,Q2416315,Prime Minister of Kazakhstan,2022-01-05,Q56825894-2625BB3F-4F9E-441E-AA71-6AB4C4898020
Q65129668,Ashat Aimagambetov,Q107752572,Minister of Education and Science,2019-06-13,Q65129668-C4EEE74C-4138-4DD8-8DFE-A1F37ADC88ED
Q70254110,Mukhtar Tleuberdi,Q107752338,Minister of Foreign Affairs,2019-09-08,Q70254110-1C183D34-6CC8-43B4-88AD-FA9E9CA48DDA
Q70254110,Mukhtar Tleuberdi,Q97358527,Deputy Prime Minister of Kazakhstan,2019-09-08,Q70254110-63529D26-8143-47EA-885F-A4FD26BF25EB
Q97185700,Erulan Jamaubaev,Q107752295,Minister of Finance,2020-05-18,Q97185700-AF7FF2E6-603F-4A20-83AE-FF82A1818614
Q97206977,Aida Balaeva,Q107752588,Minister of Information and Social Development,2020-05-04,Q97206977-B58B8B72-9525-42D0-8D34-73836DA8F4E6
Q98103179,Bağdat Musin,Q107752568,"Minister of Digital Development, Innovation and Aerospace Industry",2020-09-02,Q98103179-70D64E69-B969-4B53-B58E-EBF80AD78286
Q99693149,Yuri Ilyin,Q107752284,Minister of Emergency Situations,2020-09-11,Q99693149-B15E7ADD-E340-4F87-BD3E-80D6D1214243
