@@,itemlabel,item,startdate,enddate
+++,Кадырова Зауре Жусуповна,Q25489708,1990,1994-06
+++,Бейсенов Саят Дюсенбаевич,Q4081237,1991-03,1993-10
+++,Соболев Виктор Васильевич,,1993-10,1994-10
+++,Крепак Петр Иванович,Q109492827,1994-06,1996-11
+++,Тутенов Байкарим Вильямович,,1994-06,1995-10
+++,Аимбетов Сеитсултан Сулейменович,Q12561850,1995-10,1996-11
+++,Коржова Наталья Артёмовна,Q4233034,1996-11,1999-10
+++,Радостовец Николай Владимирович,Q15088591,1999-10,2000-08
+++,Байменов Алихан Мухамедьевич,Q4075631,2000-08,2001-11
+++,Карагусова Гульжана Джанпеисовна,Q4213731,2001-11,2007-08
+++,Сапарбаев Бердыбек Машбекович,Q4408033,2007-08,2009-03-04
+++,Абдыкаликова Гульшара Наушаевна,Q4054654,2009-03-04,2012-09-26
+++,Абденов Серик Сакбалдиевич,Q12086913,2012-09-26,2013-06-10
+++,Дуйсенова Тамара Босымбековна,Q16436474,2013-06-10,2014-08-06
+++,Дуйсенова Тамара Босымбековна,Q16436474,2017-01-25,2018-02-09
+++,"Абылкасымова, Мадина Ерасыловна",Q48956169,2018-02-09,2019-02-22
->,"Бердибек Машбекович Сапарбаев->Сапарбаев, Бердыбек Машбекович",Q4408033,2019-02-25,2019-08-20
+++,"Нурымбетов, Биржан Бидайбекулы",Q16436595,2019-08-20,2021-01-18
->,"Серик Жамбулович Шапкенов->Шапкенов, Серик Жамбулович",Q12562169,2021-01-18,NULL->2022-04-07
+++,"Дуйсенова, Тамара Босымбековна",Q16436474,2022-04-11,
