@@,itemlabel,item,startdate,enddate
+++,"Берсенёв, Михаил Терентьевич",Q4085186,1991-12-16,1992-04
+++,"Шумов, Владимир Георгиевич",Q4527815,1992-04,1994-09
+++,"Баекенов, Булат Абдрахманович",Q4075062,1994-10,1995-11
+++,"Сулейменов, Каирбек Шошанович",Q4740849,1995-10,2000-12
+++,"Искаков, Болат Газизович",Q4203816,2000-12,2002-01
+++,"Сулейменов, Каирбек Шошанович",Q4740849,2002-01,2003-09-12
+++,"Турисбеков, Заутбек Каусбекович",Q976657,2003-09-12,2005-10-14
+++,"Мухамеджанов, Бауржан Алимович",Q1045973,2005-10-14,2009-04-02
+++,"Баймаганбетов, Серик Нуртаевич",Q461089,2009-04-02,2011-04-11
->,"Тургумбаев, Ерлан Заманбекович->Тургумбаев Ерлан Заманбекович",Q12542039,2019-02-12,
