position,title
Q5256775,President
Q7925052,Vice President
Q2416315,Prime Minister
Q97358527,Deputy Prime Minister
Q96377974,First Deputy Prime Minister
Q108391646,Minister of Agriculture
Q107752585,Minister of Culture and Sports
Q107752328,Minister of Defence
Q107752568,"Minister of Digital Development, Innovation and Aerospace Industry"
Q107752348,"Minister of Ecology, Geology and Natural Resources"
Q112392850,Minister of Education
Q107752572,Minister of Education and Science
Q107752284,Minister of Emergency Situations
Q107752334,Minister of Energy
Q107752295,Minister of Finance
Q107752338,Minister of Foreign Affairs
Q107752583,Minister of Healthcare
Q107752563,Minister of Industry and Infrastructure Development
Q110556800,Minister of Information and Communications
Q107752588,Minister of Information and Social Development
Q107752298,Minister of Internal Affairs
Q107752344,Minister of Justice
Q107752312,Minister of Labor and Social Protection of the Population
Q107752575,Minister of National Economy
Q112393108,Minister of Science and Higher Education
Q107752565,Minister of Trade and Integration
Q106325598,Minister of Transport and Communications
Q96406445,State Secretary
Q109497247,Head of the Presidential Administration
Q107752391,Head of the Office of the Prime Minister
Q108363284,Secretary of the Security Council
Q109497278,Chairman of the National Security Committee
Q109497304,Prosecutor General
Q109497334,Governor of the National Bank
Q104865340,Chair of the Senate
Q106325842,Äkim of Nur-Sultan
